"var","cor"
"Calcium&Local_SeedDryMass&LeafShape",0.781050012451607
"Boron&Magnesium&TRY_SLA_pet_inc",0.780835912866851
"Calcium&LeafPhoto_area&LeafShape",0.780833503991861
"Boron&Calcium&LeafNitrogen",0.780574014132491
"Calcium&Local_P.A.L&LeafWater",0.780455049160209
"Calcium&LeafPhoto_mass&LeafWater",0.779989392389349
"LDMC&LeafShape&LeafletNum",0.779957106783086
"Calcium&FineRootTissueDensity&TRY_SLA_pet_ex",0.779880579452392
"Calcium&Magnesium&Try_SeedDryMass",0.779792522536665
"Boron&Sulfur&LeafWater",0.779679324251807
"Calcium&Iron&LeafShape",0.779368639151154
"Calcium&Iron&LeafPhoto_mass",0.779345476038727
"Boron&LeafShape&StomataConductance_mass",0.779101083701387
"Calcium&LeafDelta15Nitrogen&LeafShape",0.778292868466641
"Boron&Magnesium&LeafDelta15Nitrogen",0.778151846943458
"Calcium&FineRootDiameter&LeafNitrogen",0.778093816309969
"Boron&LeafletNum&StomataConductance_area",0.777676371099387
"Boron&Sulfur&StomataConductance_area",0.777547009516693
"Boron&LeafNitrogen&LeafletNum",0.777303468752433
"FineRootTissueDensity&TRY_SLA_pet_ex&LeafShape",0.777176445516158
"Manganese&LDMC&LeafShape",0.77673840732048
"Boron&Calcium&Magnesium",0.776723687811888
"Boron&Copper&Manganese",0.776568918166704
"Boron&Calcium&Sulfur",0.776273500448639
"Boron&Magnesium&StomataConductance_area",0.776217181605879
"Calcium&LeafDelta15Nitrogen&LeafWater",0.776028874859133
"Boron&Copper&LeafletNum",0.775789349176608
"Calcium&Sulfur&LeafletNum",0.77578124245432
"Calcium&LeafWater&StomataConductance_mass",0.774952988317458
"Calcium&LeafArea&LeafShape",0.774126497490655
"Aluminum&Calcium&LeafPhoto_mass",0.773961118913103
"Boron&LeafDryMassSingle&LeafShape",0.773152922657213
"Boron&Calcium&FineRootDiameter",0.773010238261719
"Calcium&Carbon&LeafPhoto_mass",0.772781375220496
"Boron&Nitrogen&Local_P.A",0.77268379707344
"Boron&Local_P.A.L&LeafShape",0.772453313462684
"Boron&Sulfur&StomataConductance_mass",0.772327466210808
"Calcium&LeafNitrogen&LeafWater",0.772052007843437
"Boron&TRY_SLA_pet_inc&LeafWater",0.77204185737665
"Boron&TRY_SLA_pet_inc&LeafShape",0.771530014220779
"Boron&Magnesium&Manganese",0.771493793294359
"Calcium&TRY_SLA_pet_inc&LeafWater",0.771330265798862
"Boron&Calcium&FineRootTissueDensity",0.771270042454161
"Calcium&Manganese&StomataConductance_mass",0.770804628153059
"Calcium&Potassium&Local_SeedDryMass",0.770481486587018
"Calcium&Sulfur&LDMC",0.770393953609914
"Boron&Local_SLA_pet_ex&LeafNitrogen",0.770260112832389
"Copper&LeafPhoto_mass&LeafShape",0.770010178321613
"Boron&Calcium&LDMC",0.769678374263401
"Calcium&Nitrogen&TRY_SLA_pet_inc",0.769534680291807
"Calcium&LeafNitrogen&LeafShape",0.769515752567587
"Aluminum&Calcium&LeafShape",0.769157243324398
"Magnesium&Manganese&LeafShape",0.768987203085633
"Magnesium&Manganese&StomataConductance_mass",0.768819400797487
"Boron&Manganese&Local_SeedDryMass",0.768752607020807
"Copper&LDMC&LeafDelta15Nitrogen",0.768266838913022
"Magnesium&Nitrogen&LDMC",0.767866526934961
"LeafShape&LeafWater&LeafletNum",0.765954868753644
"Calcium&Copper&Magnesium",0.765877275132529
"Calcium&Nitrogen&TRY_SLA_pet_ex",0.765845462514414
"Calcium&Copper&LeafWater",0.76584005979096
"Calcium&LeafletNum&StomataConductance_area",0.765554730072967
"Boron&Magnesium&Local_SLA_pet_ex",0.765518263485404
